	"Archive-ID"	"Media-ID"	"Duration"					
232	253	"ZA253_03_02"	"NULL"	"ZA253_03_02_tc_tab.ods"	21.07.09 17:19	08.10.09 16:27	"segmented"	"NULL"
233	253	"ZA253_03_03"	"00:26:45.20"	"ZA253_03_03_tc_tab.ods"	21.07.09 17:27	13.10.09 10:23	"segmented"	"NULL"
234	291	"ZA291_07_01"	"00:35:10.21"	"ZA291_07_01_tc_tab.ods"	21.07.09 17:28	30.07.09 09:51	"segmented"	"NULL"
235	291	"ZA291_07_02"	"00:35:08.08"	"ZA291_07_02_tc_tab.ods"	21.07.09 17:28	22.09.09 15:50	"segmented"	"NULL"
236	291	"ZA291_07_03"	"00:36:18.17"	"ZA291_07_03_tc_tab.ods"	21.07.09 17:28	22.09.09 15:50	"segmented"	"NULL"
237	291	"ZA291_07_04"	"00:35:52.00"	"ZA291_07_04_tc_tab.ods"	21.07.09 17:28	30.07.09 16:21	"segmented"	"NULL"
238	291	"ZA291_07_05"	"00:36:11.09"	"ZA291_07_05_tc_tab.ods"	21.07.09 17:29	30.07.09 16:21	"segmented"	"NULL"
239	291	"ZA291_07_06"	"00:36:36.10"	"ZA291_07_06_tc_tab.ods"	21.07.09 17:29	30.07.09 09:51	"segmented"	"NULL"
240	291	"ZA291_07_07"	"00:31:09.16"	"ZA291_07_07_tc_tab.ods"	21.07.09 17:29	30.07.09 09:51	"segmented"	"NULL"
241	331	"ZA331_04_01"	"00:33:29.15"	"ZA331_04_01_tc_tab.ods"	21.07.09 17:29	19.10.09 13:43	"segmented"	"NULL"
242	331	"ZA331_04_02"	"00:23:04.19"	"ZA331_04_02_tc_tab.ods"	21.07.09 17:29	02.10.09 16:19	"segmented"	"NULL"
243	331	"ZA331_04_03"	"00:33:04.08"	"ZA331_04_03_tc_tab.ods"	21.07.09 17:29	13.10.09 10:37	"segmented"	"NULL"
244	331	"ZA331_04_04"	"00:27:25.12"	"ZA331_04_04_tc_tab.ods"	21.07.09 17:29	02.10.09 16:19	"segmented"	"NULL"
245	349	"ZA349_07_01"	"00:35:13.03"	"ZA349_07_01_tc_tab.ods"	21.07.09 17:30	22.09.09 15:50	"segmented"	"NULL"
246	349	"ZA349_07_02"	"00:34:09.01"	"ZA349_07_02_tc_tab.ods"	21.07.09 17:30	22.09.09 15:50	"segmented"	"NULL"
247	349	"ZA349_07_03"	"00:35:10.19"	"ZA349_07_03_tc_tab.ods"	21.07.09 17:30	22.09.09 15:51	"segmented"	"NULL"
248	349	"ZA349_07_04"	"00:34:48.06"	"ZA349_07_04_tc_tab.ods"	21.07.09 17:30	22.09.09 15:51	"segmented"	"NULL"
249	349	"ZA349_07_05"	"00:34:58.01"	"ZA349_07_05_tc_tab.ods"	21.07.09 17:31	22.09.09 15:51	"segmented"	"NULL"
250	349	"ZA349_07_06"	"00:33:50.05"	"ZA349_07_06_tc_tab.ods"	21.07.09 17:31	22.09.09 15:51	"segmented"	"NULL"
251	349	"ZA349_07_07"	"00:22:50.03"	"ZA349_07_07_tc_tab.ods"	21.07.09 17:31	22.09.09 15:51	"segmented"	"NULL"
252	467	"ZA467_06_01"	"00:35:52.19"	"ZA467_06_01_tc_tab.ods"	21.07.09 17:31	04.11.09 17:36	"segmented"	"NULL"
253	467	"ZA467_06_02"	"00:35:27.17"	"ZA467_06_02_tc_tab.ods"	21.07.09 17:31	04.11.09 17:36	"segmented"	"NULL"
254	467	"ZA467_06_03"	"00:31:27.08"	"ZA467_06_03_tc_tab.ods"	21.07.09 17:31	22.09.09 15:51	"segmented"	"NULL"
255	467	"ZA467_06_04"	"00:35:48.20"	"ZA467_06_04_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
256	467	"ZA467_06_05"	"00:34:14.03"	"ZA467_06_05_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
257	467	"ZA467_06_06"	"00:33:20.17"	"ZA467_06_06_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
258	468	"ZA468_02_01"	"00:34:56.23"	"ZA468_02_01_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
259	468	"ZA468_02_02"	"NULL"	"ZA468_02_02_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
260	471	"ZA471_04_01"	"00:36:06.13"	"ZA471_04_01_tc_tab.ods"	21.07.09 17:32	22.09.09 15:51	"segmented"	"NULL"
261	471	"ZA471_04_02"	"00:36:47.15"	"ZA471_04_02_tc_tab.ods"	21.07.09 17:33	22.09.09 15:51	"segmented"	"NULL"
262	471	"ZA471_04_03"	"NULL"	"ZA471_04_03_tc_tab.ods"	21.07.09 17:33	22.09.09 15:51	"segmented"	"NULL"
263	471	"ZA471_04_04"	"00:29:54.00"	"ZA471_04_04_tc_tab.ods"	21.07.09 17:33	22.09.09 15:51	"segmented"	"NULL"
264	501	"ZA501_06_01"	"NULL"	"ZA501_06_01_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
265	501	"ZA501_06_02"	"00:36:09.08"	"ZA501_06_02_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
266	501	"ZA501_06_03"	"00:37:07.17"	"ZA501_06_03_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
267	501	"ZA501_06_04"	"00:35:29.02"	"ZA501_06_04_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
268	501	"ZA501_06_05"	"00:35:34.06"	"ZA501_06_05_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
269	501	"ZA501_06_06"	"00:34:41.16"	"ZA501_06_06_tc_tab.ods"	21.07.09 17:34	22.09.09 15:51	"segmented"	"NULL"
270	100	"ZA100_01_01"	"03:03:55.23"	"ZA100_01_01_tc_tab.ods"	22.07.09 15:52	22.10.09 14:02	"segmented"	"NULL"
271	335	"ZA335_04_01"	"00:34:54.09"	"ZA335_04_01_tc_tab.ods"	24.07.09 16:56	22.09.09 15:51	"segmented"	"NULL"
272	335	"ZA335_04_02"	"00:26:49.20"	"ZA335_04_02_tc_tab.ods"	24.07.09 16:56	22.09.09 15:51	"segmented"	"NULL"
273	335	"ZA335_04_03"	"00:36:05.09"	"ZA335_04_03_tc_tab.ods"	24.07.09 16:57	22.09.09 15:51	"segmented"	"NULL"
274	335	"ZA335_04_04"	"NULL"	"ZA335_04_04_tc_tab.ods"	24.07.09 16:57	22.09.09 15:51	"segmented"	"NULL"
275	343	"ZA343_02_01"	"01:32:23.09"	"ZA343_02_01_tc_tab.ods"	24.07.09 16:57	22.09.09 15:51	"segmented"	"NULL"
276	343	"ZA343_02_02"	"NULL"	"ZA343_02_02_tc_tab.ods"	24.07.09 16:58	22.09.09 15:51	"segmented"	"NULL"
277	20	"ZA020_06_01"	"NULL"	"ZA020_06_01_tc_tab.ods"	17.09.09 11:53	22.09.09 15:51	"segmented"	"NULL"
278	20	"ZA020_06_02"	"00:34:54.16"	"ZA020_06_02_tc_tab.ods"	17.09.09 11:54	22.09.09 15:51	"segmented"	"NULL"
279	20	"ZA020_06_03"	"NULL"	"ZA020_06_03_tc_tab.ods"	17.09.09 11:54	22.09.09 15:51	"segmented"	"NULL"
280	20	"ZA020_06_04"	"NULL"	"ZA020_06_04_tc_tab.ods"	17.09.09 11:55	22.09.09 15:51	"segmented"	"NULL"
281	20	"ZA020_06_05"	"00:34:58.00"	"ZA020_06_05_tc_tab.ods"	17.09.09 11:56	22.09.09 15:51	"segmented"	"NULL"
